timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-26 13:55:00,8.21,8.22,8.19,8.19,1691.0,-0.02,-0.24,8.192,8.195,8.1675,2604.2,2618.31,3020.44,0.01
2020-02-26 14:00:00,8.19,8.19,8.17,8.17,1562.0,-0.02,-0.24,8.186,8.194,8.1695,2684.0,2533.81,2916.34,0.01
2020-02-26 14:05:00,8.18,8.19,8.18,8.18,553.0,0.0,0.0,8.188,8.193,8.1725,2226.0,2288.45,2879.3,0.0
2020-02-26 14:10:00,8.18,8.18,8.17,8.16,1238.0,-0.01,-0.12,8.184,8.191,8.175,2272.64,2298.05,2888.74,0.01
2020-02-26 14:15:00,8.17,8.18,8.17,8.16,974.0,0.0,0.0,8.176,8.186,8.177,1203.6,1915.3,2823.4,0.01
2020-02-26 14:20:00,8.17,8.17,8.17,8.15,1743.0,0.0,0.0,8.172,8.182,8.179,1214.0,1909.1,2827.52,0.01
2020-02-26 14:25:00,8.17,8.18,8.15,8.15,1246.0,-0.02,-0.24,8.168,8.177,8.179,1150.8,1917.4,2769.62,0.01
2020-02-26 14:30:00,8.16,8.17,8.16,8.16,1258.0,0.0,0.0,8.164,8.176,8.18,1291.8,1758.9,2659.3,0.01
2020-02-26 14:35:00,8.16,8.17,8.15,8.15,925.0,-0.01,-0.12,8.16,8.172,8.18,1229.2,1750.92,2375.56,0.01
2020-02-26 14:40:00,8.15,8.15,8.14,8.13,2311.0,-0.01,-0.12,8.154,8.165,8.179,1496.6,1350.1,2319.9,0.02
2020-02-26 14:45:00,8.14,8.15,8.12,8.11,2843.0,-0.02,-0.25,8.144,8.158,8.1765,1716.6,1465.3,2041.8,0.02
2020-02-26 14:50:00,8.12,8.14,8.14,8.11,2151.0,0.02,0.25,8.142,8.155,8.1745,1897.6,1524.2,2029.0,0.02
2020-02-26 14:55:00,8.14,8.16,8.15,8.14,1756.0,0.01,0.12,8.14,8.152,8.1725,1997.2,1644.5,1966.48,0.01
2020-02-26 15:00:00,8.14,8.15,8.15,8.13,883.0,0.01,0.12,8.14,8.15,8.1705,1988.8,1609.0,1953.52,0.01
2020-02-27 09:35:00,8.15,8.21,8.19,8.15,7047.4,0.04,0.49,8.15,8.152,8.169,2936.08,2216.34,2065.82,0.06
2020-02-27 09:40:00,8.19,8.24,8.23,8.18,5122.46,0.04,0.49,8.172,8.158,8.17,3391.97,2554.29,2231.69,0.04
2020-02-27 09:45:00,8.24,8.31,8.28,8.23,8769.0,0.04,0.49,8.2,8.171,8.174,4715.57,3306.59,2611.99,0.07
2020-02-27 09:50:00,8.29,8.31,8.31,8.26,8358.0,0.02,0.24,8.232,8.186,8.181,6035.97,4016.59,2887.74,0.07
2020-02-27 09:55:00,8.31,8.35,8.3,8.29,6507.8,-0.01,-0.12,8.262,8.201,8.1865,7160.93,4574.87,3162.89,0.05
