timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-26 13:55:00,74.0,74.0,73.5,71.84,3251.0,-0.5,-0.68,73.378,76.866,78.531,5511.24,3876.68,2785.47,0.54
2020-02-26 14:00:00,73.5,73.5,72.94,71.83,2236.0,-0.56,-0.76,73.666,76.06,78.188,4051.64,3895.42,2854.72,0.37
2020-02-26 14:05:00,73.5,73.97,72.85,72.0,1877.0,-0.65,-0.88,73.738,75.195,77.9005,3066.52,3905.12,2824.32,0.31
2020-02-26 14:10:00,72.85,73.99,73.07,72.85,1300.0,0.22,0.3,73.272,74.395,77.5545,2276.0,3795.22,2837.57,0.21
2020-02-26 14:15:00,73.02,73.1,72.96,72.88,1070.0,-0.06,-0.08,73.064,73.741,77.227,1946.8,3688.22,2845.14,0.18
2020-02-26 14:20:00,72.96,72.96,70.48,70.16,6044.0,-2.48,-3.4,72.46,72.919,76.73,2505.4,4008.32,3087.05,1.0
2020-02-26 14:25:00,70.5,71.93,71.0,70.5,2746.0,0.5,0.71,72.072,72.869,76.2985,2607.4,3329.52,3193.46,0.45
2020-02-26 14:30:00,71.01,71.93,71.93,70.96,2263.0,0.92,1.3,71.888,72.813,75.88,2684.6,2875.56,3276.03,0.37
2020-02-26 14:35:00,71.93,73.11,71.9,71.9,1718.0,-0.03,-0.04,71.654,72.463,75.4745,2768.2,2522.1,3314.23,0.28
2020-02-26 14:40:00,71.76,71.9,70.58,70.5,2041.0,-1.18,-1.64,71.178,72.121,74.8945,2962.4,2454.6,3316.71,0.34
2020-02-26 14:45:00,70.52,71.22,71.22,70.5,3124.0,0.7,0.99,71.326,71.893,74.3795,2378.4,2441.9,3159.29,0.52
2020-02-26 14:50:00,71.22,71.51,69.8,69.8,2309.0,-1.42,-1.99,71.086,71.579,73.8195,2291.0,2449.2,3172.31,0.38
2020-02-26 14:55:00,69.5,69.6,67.54,67.54,12699.4,-1.96,-2.82,70.208,71.048,73.1215,4378.28,3531.44,3718.28,2.1
2020-02-26 15:00:00,67.54,67.54,67.54,67.54,3519.0,0.0,0.0,69.336,70.495,72.445,4738.48,3753.34,3774.28,0.58
2020-02-27 09:35:00,68.75,71.6,69.6,68.75,19724.4,0.85,1.24,69.14,70.159,71.95,8275.16,5618.78,4653.5,3.26
2020-02-27 09:40:00,69.79,70.89,67.01,67.01,12568.8,-2.78,-3.98,68.298,69.812,71.3655,10164.1,6271.26,5139.79,2.08
2020-02-27 09:45:00,67.49,69.0,68.01,67.03,9645.0,0.52,0.77,67.94,69.513,71.191,11631.3,6961.16,5145.34,1.59
2020-02-27 09:50:00,68.34,68.34,67.95,67.67,6183.0,-0.39,-0.57,68.022,69.115,70.964,10328.0,7353.16,5114.36,1.02
2020-02-27 09:55:00,67.95,68.8,68.35,67.79,4766.0,0.4,0.59,68.184,68.76,70.6115,10577.4,7657.96,5090.03,0.79
2020-02-27 10:00:00,68.35,68.35,66.4,66.4,4469.0,-1.95,-2.85,67.544,68.342,70.2315,7526.36,7900.76,5177.68,0.74
2020-02-27 10:05:00,66.31,66.47,66.0,65.1,10944.2,-0.31,-0.47,67.342,67.82,69.8565,7201.44,8682.78,5562.34,1.81
2020-02-27 10:10:00,66.19,66.19,65.0,63.72,7154.2,-1.19,-1.8,66.74,67.34,69.4595,6703.28,9167.3,5808.25,1.18
2020-02-27 10:15:00,65.0,65.8,65.6,63.98,6456.0,0.6,0.92,66.27,67.146,69.097,6757.88,8542.96,6037.2,1.07
2020-02-27 10:20:00,65.91,66.5,65.5,64.78,2609.0,-0.41,-0.62,65.7,66.942,68.7185,6326.48,8451.96,6102.65,0.43
2020-02-27 10:25:00,65.75,67.0,66.27,65.54,2285.0,0.52,0.79,65.674,66.609,68.384,5889.68,6708.02,6163.4,0.38
