timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-26 13:55:00,5.43,5.43,5.41,5.41,1356.0,-0.02,-0.37,5.426,5.429,5.41,1214.6,1170.7,916.05,0.05
2020-02-26 14:00:00,5.41,5.42,5.4,5.4,1602.0,-0.01,-0.18,5.42,5.426,5.4105,1378.8,1303.5,961.1,0.06
2020-02-26 14:05:00,5.4,5.43,5.42,5.4,965.0,0.02,0.37,5.42,5.426,5.413,1202.6,1332.7,979.4,0.04
2020-02-26 14:10:00,5.42,5.42,5.39,5.38,1119.0,-0.03,-0.55,5.41,5.422,5.4145,1209.4,1382.6,958.95,0.04
2020-02-26 14:15:00,5.38,5.42,5.4,5.38,4588.16,0.02,0.37,5.404,5.417,5.4155,1926.03,1528.62,1165.71,0.17
2020-02-26 14:20:00,5.4,5.41,5.4,5.39,1681.0,0.0,0.0,5.402,5.414,5.416,1991.03,1602.82,1234.71,0.06
2020-02-26 14:25:00,5.39,5.4,5.39,5.39,763.0,0.0,0.0,5.4,5.41,5.4165,1823.23,1601.02,1251.21,0.03
2020-02-26 14:30:00,5.39,5.41,5.4,5.39,790.0,0.01,0.19,5.396,5.408,5.4175,1788.23,1495.42,1273.01,0.03
2020-02-26 14:35:00,5.4,5.41,5.38,5.38,693.0,-0.02,-0.37,5.394,5.402,5.416,1703.03,1456.22,1266.61,0.03
2020-02-26 14:40:00,5.38,5.39,5.37,5.36,1623.0,-0.01,-0.19,5.388,5.396,5.4135,1110.0,1518.02,1338.51,0.06
2020-02-26 14:45:00,5.37,5.38,5.36,5.35,2048.0,-0.01,-0.19,5.38,5.391,5.41,1183.4,1587.22,1378.96,0.08
2020-02-26 14:50:00,5.36,5.39,5.36,5.36,3753.0,0.0,0.0,5.374,5.387,5.4065,1781.4,1802.32,1552.91,0.14
2020-02-26 14:55:00,5.37,5.4,5.38,5.35,1620.0,0.01,0.19,5.37,5.383,5.4045,1947.4,1867.82,1600.26,0.06
2020-02-26 15:00:00,5.38,5.38,5.37,5.36,518.0,-0.01,-0.19,5.368,5.381,5.4015,1912.4,1807.72,1595.16,0.02
2020-02-27 09:35:00,5.37,5.43,5.39,5.37,2066.13,0.02,0.37,5.372,5.38,5.3985,2001.03,1555.51,1542.06,0.08
2020-02-27 09:40:00,5.38,5.39,5.35,5.34,1880.0,-0.03,-0.56,5.37,5.375,5.3945,1967.43,1575.41,1589.11,0.07
