timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-02-26 13:55:00,9.05,9.05,9.0,9.0,918.0,-0.05,-0.55,9.014,9.034,8.9685,1460.4,2138.24,1458.87,0.01
2020-02-26 14:00:00,9.0,9.0,8.99,8.97,1443.0,-0.01,-0.11,9.012,9.026,8.9725,1489.6,1868.5,1443.12,0.02
2020-02-26 14:05:00,8.98,9.01,8.99,8.98,776.0,0.01,0.11,9.01,9.017,8.9785,1258.8,1642.1,1409.62,0.01
2020-02-26 14:10:00,8.99,8.99,8.96,8.96,1375.0,-0.03,-0.33,8.998,9.009,8.984,1275.0,1521.6,1435.42,0.02
2020-02-26 14:15:00,8.96,8.97,8.95,8.95,600.0,-0.01,-0.11,8.978,9.0,8.9865,1022.4,1201.3,1449.07,0.01
2020-02-26 14:20:00,8.95,8.95,8.91,8.91,503.0,-0.04,-0.45,8.96,8.987,8.9875,939.4,1199.9,1440.02,0.01
2020-02-26 14:25:00,8.91,8.96,8.94,8.91,1498.0,0.03,0.34,8.95,8.981,8.989,950.4,1220.0,1499.32,0.02
2020-02-26 14:30:00,8.95,8.95,8.94,8.92,442.0,-0.01,-0.11,8.94,8.975,8.9905,883.6,1071.2,1514.47,0.01
2020-02-26 14:35:00,8.94,8.94,8.91,8.91,747.0,-0.03,-0.34,8.93,8.964,8.9905,758.0,1016.5,1520.42,0.01
2020-02-26 14:40:00,8.91,8.92,8.91,8.89,1713.0,0.0,0.0,8.922,8.95,8.99,980.6,1001.5,1585.12,0.03
2020-02-26 14:45:00,8.91,8.91,8.86,8.86,2523.0,-0.05,-0.56,8.912,8.936,8.985,1384.6,1162.0,1650.12,0.04
2020-02-26 14:50:00,8.86,8.87,8.85,8.84,3144.0,-0.01,-0.11,8.894,8.922,8.974,1713.8,1332.1,1600.3,0.05
2020-02-26 14:55:00,8.85,8.88,8.86,8.83,1959.0,0.01,0.11,8.878,8.909,8.963,2017.2,1450.4,1546.25,0.03
2020-02-26 15:00:00,8.86,8.89,8.89,8.83,981.0,0.03,0.34,8.874,8.902,8.9555,2064.0,1411.0,1466.3,0.01
2020-02-27 09:35:00,8.99,9.0,8.89,8.88,7309.0,-0.1,-1.11,8.87,8.896,8.948,3183.2,2081.9,1641.6,0.11
2020-02-27 09:40:00,8.88,9.0,8.98,8.85,3033.45,0.1,1.13,8.894,8.903,8.945,3285.29,2334.94,1767.42,0.05
2020-02-27 09:45:00,8.99,9.1,9.1,8.95,3459.0,0.11,1.22,8.944,8.919,8.95,3348.29,2531.04,1875.52,0.05
2020-02-27 09:50:00,9.1,9.1,9.06,9.03,5988.0,-0.04,-0.44,8.984,8.931,8.953,4154.09,3085.64,2078.42,0.09
2020-02-27 09:55:00,9.07,9.15,9.11,9.07,9052.0,0.04,0.44,9.028,8.951,8.9575,5768.29,3916.14,2466.32,0.14
2020-02-27 10:00:00,9.11,9.13,9.05,9.05,2307.0,-0.06,-0.66,9.06,8.965,8.9575,4767.89,3975.54,2488.52,0.03
2020-02-27 10:05:00,9.05,9.08,9.06,9.05,1578.0,0.01,0.11,9.076,8.985,8.9605,4476.8,3881.04,2521.52,0.02
2020-02-27 10:10:00,9.06,9.07,9.03,9.01,1986.0,-0.03,-0.33,9.062,9.003,8.9625,4182.2,3765.24,2548.67,0.03
2020-02-27 10:15:00,9.03,9.03,9.03,8.95,2974.0,0.0,0.0,9.056,9.02,8.9645,3579.4,3866.74,2658.57,0.04
2020-02-27 10:20:00,9.04,9.1,9.08,9.02,1991.0,0.04,0.44,9.05,9.039,8.9705,2167.2,3967.74,2689.37,0.03
2020-02-27 10:25:00,9.08,9.1,9.06,9.06,614.0,-0.02,-0.22,9.052,9.056,8.976,1828.6,3298.24,2690.07,0.01
2020-02-27 10:30:00,9.05,9.06,9.05,9.03,741.0,0.0,0.0,9.05,9.063,8.983,1661.2,3069.0,2701.97,0.01
2020-02-27 10:35:00,9.05,9.05,9.03,9.02,1088.0,-0.02,-0.22,9.05,9.056,8.9875,1481.6,2831.9,2681.47,0.02
2020-02-27 10:40:00,9.03,9.08,9.06,9.03,929.0,0.03,0.33,9.056,9.056,8.9935,1072.6,2326.0,2705.82,0.01
2020-02-27 10:45:00,9.06,9.06,9.06,9.04,438.0,0.0,0.0,9.052,9.051,9.001,762.0,1464.6,2690.37,0.01
2020-02-27 10:50:00,9.06,9.06,9.04,9.03,790.0,-0.02,-0.22,9.048,9.05,9.0075,797.2,1312.9,2644.22,0.01
2020-02-27 10:55:00,9.04,9.04,9.03,9.03,412.0,-0.01,-0.11,9.044,9.047,9.016,731.4,1196.3,2538.67,0.01
2020-02-27 11:00:00,9.03,9.03,9.02,9.02,393.0,-0.01,-0.11,9.042,9.046,9.0245,592.4,1037.0,2401.12,0.01
2020-02-27 11:05:00,9.02,9.04,9.02,9.0,1464.0,0.0,0.0,9.034,9.045,9.0325,699.4,886.0,2376.37,0.02
2020-02-27 11:10:00,9.02,9.04,9.02,9.0,1002.0,0.0,0.0,9.026,9.039,9.039,812.2,787.1,2377.42,0.02
2020-02-27 11:15:00,9.02,9.02,9.02,9.01,238.0,0.0,0.0,9.022,9.035,9.0455,701.8,749.5,2023.87,0.0
2020-02-27 11:20:00,9.02,9.02,9.01,9.0,2019.0,-0.01,-0.11,9.018,9.031,9.047,1023.2,877.3,1973.15,0.03
2020-02-27 11:25:00,9.01,9.04,9.03,9.01,255.0,0.02,0.22,9.02,9.031,9.0435,995.6,794.0,1812.95,0.0
2020-02-27 11:30:00,9.03,9.07,9.07,9.02,1027.0,0.04,0.44,9.03,9.032,9.044,908.2,803.8,1564.9,0.02
2020-02-27 13:05:00,9.08,9.08,9.03,9.03,1651.0,-0.05,-0.55,9.032,9.029,9.04,1038.0,925.1,1194.85,0.02
2020-02-27 13:10:00,9.03,9.09,9.07,9.03,988.0,0.04,0.44,9.042,9.032,9.041,1188.0,944.9,1128.9,0.01
2020-02-27 13:15:00,9.07,9.09,9.07,9.07,1116.0,0.0,0.0,9.054,9.036,9.0415,1007.4,1015.3,1105.8,0.02
