date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-10-31,3995.39,4009.28,4006.72,3983.26,1091787.75,-3.0,-0.07,4001.788,3970.14,3925.844,1222680.29,1066360.56,1039716.15
2017-10-30,4022.16,4033.34,4009.72,3960.27,1573876.0,-12.25,-0.3,3992.324,3960.775,3916.547,1190439.05,1039423.01,1026061.47
2017-10-27,3992.55,4024.46,4021.97,3991.35,1266728.5,28.39,0.71,3976.54,3951.148,3906.95,1038633.81,1003390.44,999342.15
2017-10-26,3980.05,4013.6,3993.58,3973.55,1298954.62,16.63,0.42,3957.516,3941.051,3897.738,931248.47,966859.66,986315.63
2017-10-25,3958.17,3978.09,3976.95,3954.0,882054.56,17.55,0.44,3945.05,3932.988,3889.95,884512.05,931305.12,976916.99
2017-10-24,3926.23,3959.5,3959.4,3922.03,930581.56,28.6,0.73,3938.492,3925.562,3883.225,910040.82,947517.81,983379.04
2017-10-23,3930.89,3936.27,3930.8,3920.66,814849.81,3.95,0.1,3929.226,3918.608,3876.861,888406.96,966992.25,993066.45
2017-10-20,3918.53,3928.96,3926.85,3910.2,729801.81,-4.4,-0.11,3925.756,3913.749,3872.478,968147.08,1021043.11,1011291.16
2017-10-19,3940.58,3944.03,3931.25,3923.65,1065272.5,-12.91,-0.33,3924.586,3904.714,3867.7,1002470.85,1041368.96,1036014.57
2017-10-18,3914.82,3944.41,3944.16,3914.82,1009698.44,31.09,0.8,3920.926,3893.843,3862.636,978098.19,1028385.78,1040430.24
2017-10-17,3910.79,3924.61,3913.07,3900.48,822412.25,-0.38,-0.01,3912.632,3881.547,3857.558,984994.8,1013071.75,1037650.71
2017-10-16,3926.28,3947.42,3913.45,3913.32,1213550.38,-7.55,-0.19,3907.99,3872.318,3853.801,1045577.53,1012699.93,1068625.22
2017-10-13,3912.98,3927.17,3921.0,3908.89,901420.69,8.05,0.21,3901.742,3862.752,3849.411,1073939.15,995293.86,1069889.7
2017-10-12,3902.02,3917.44,3912.95,3897.55,943409.19,10.26,0.26,3884.842,3854.425,3845.643,1080267.06,1005771.59,1078756.49
2017-10-11,3886.82,3913.07,3902.69,3885.5,1044181.5,12.83,0.33,3866.76,3846.912,3841.904,1078673.36,1022528.86,1086275.78
2017-10-10,3883.0,3900.74,3889.86,3855.47,1125325.88,7.65,0.2,3850.462,3840.887,3838.328,1041148.69,1019240.26,1088751.92
2017-10-09,3910.11,3918.84,3882.21,3876.03,1355358.5,45.71,1.19,3836.646,3835.113,3835.108,979822.32,1019140.66,1086466.04
2017-09-29,3825.2,3852.22,3836.5,3825.2,933060.25,13.96,0.36,3823.762,3831.206,3831.967,916648.57,1001539.21,1068539.88
2017-09-28,3821.59,3827.33,3822.54,3813.75,935440.69,1.34,0.04,3824.008,3830.686,3831.644,931276.12,1030660.18,1078217.0
2017-09-27,3818.96,3832.57,3821.2,3818.81,856558.12,0.42,0.01,3827.064,3831.428,3832.344,966384.36,1052474.7,1089199.79
2017-09-26,3810.33,3821.69,3820.78,3808.38,818694.06,2.99,0.08,3831.312,3833.569,3833.273,997331.83,1062229.68,1108586.6
2017-09-25,3829.22,3835.39,3817.79,3811.12,1039489.75,-19.94,-0.52,3833.58,3835.284,3834.408,1058458.99,1124550.51,1134940.46
2017-09-22,3826.46,3842.25,3837.73,3816.82,1006198.0,-0.09,-0.0,3838.65,3836.07,3836.07,1086429.84,1144485.53,1144485.53
2017-09-21,3843.26,3860.8,3837.82,3837.38,1110981.88,-4.62,-0.12,3837.364,3835.886,3835.886,1130044.24,1159850.82,1159850.82
2017-09-20,3830.15,3850.94,3842.44,3827.89,1011295.44,10.32,0.27,3835.792,3835.644,3835.644,1138565.04,1165959.43,1165959.43
2017-09-19,3849.88,3857.3,3832.12,3820.29,1124329.88,-11.02,-0.29,3835.826,3834.673,3834.673,1127127.53,1188054.29,1188054.29
2017-09-18,3832.96,3862.36,3843.14,3832.96,1179344.0,11.84,0.31,3836.988,3835.098,3835.098,1190642.03,1198675.02,1198675.02
2017-09-15,3826.14,3843.3,3831.3,3818.52,1224270.0,1.34,0.04,3833.49,3833.49,3833.49,1202541.23,1202541.23,1202541.23
2017-09-14,3843.57,3854.49,3829.96,3820.09,1153585.88,-12.65,-0.33,3834.038,3834.038,3834.038,1197109.04,1197109.04,1197109.04
2017-09-13,3835.55,3847.78,3842.61,3822.94,954107.88,4.68,0.12,3835.397,3835.397,3835.397,1211616.75,1211616.75,1211616.75
2017-09-12,3832.24,3849.39,3837.93,3822.0,1441902.38,12.28,0.32,3831.79,3831.79,3831.79,1340371.19,1340371.19,1340371.19
2017-09-11,3828.34,3850.74,3825.65,3817.51,1238840.0,-0.34,-0.01,3825.65,3825.65,3825.65,1238840.0,1238840.0,1238840.0
